str_yes|是 。 
str_map_basic|地 图 
str_game_type_basic|游 戏 类 型 
str_battle|战 场 模 式 
str_siege_offense|围 城 （ 进 攻 ） 
str_siege_defense|围 城 （ 防 御 ） 
str_character|角 色 
str_biography|背 景 
str_player|玩 家 
str_enemy|敌 人 
str_faction|文 化 
str_army_composition|部 队 成 份 
str_army_size|部 队 规 模 
str_reg0_men|{reg0}人 
str_start|开 始 
str_i_need_to_raise_some_men_before_attempting_anything_else|我 在 试 图 干 任 何 事 情 之 前 最 好 先 召 集 一 些 人 
str_we_are_currently_at_peace|我 们 现 在 保 持 和 平 
str_the_marshalship|元 帅 职 位 
str_you|你 
str_myself|我 自 己 
str_my_friend_s15|我 的 朋 友 {s15}
str_custom_battle|定 制 战 斗 
str_comment_intro_liege_affiliated_to_player|我 听 说 你 质 疑 我 的 统 治 权 。 坦 率 地 说 ， 我 对 这 个 消 息 很 不 高 兴 。 不 过 我 们 还 是 可 以 谈 一 谈 。 
str_s21_the_s8_declared_war_out_of_personal_enmity|{s21}{s8}由 于 个 人 恩 怨 而 宣 战 。 
str_s21_the_s8_declared_war_in_response_to_border_provocations|{s21}{s8}由 于 敌 人 针 对 边 境 的 挑 衅 而 宣 战 。 
str_s21_the_s8_declared_war_to_curb_the_other_realms_power|{s21}{s8}为 了 削 弱 其 他 国 家 的 实 力 而 宣 战 。 
str_s21_the_s8_declared_war_to_regain_lost_territory|{s21}{s8}为 了 收 复 失 地 而 宣 战 。 
str_we_are_conducting_recce|在 决 定 要 做 什 么 之 前 ， 我 们 必 须 先 仔 细 侦 查 这 个 地 区 。 
str_center_party_not_active|并 不 是 我 们 的 目 标 ， 我 们 没 有 哪 位 领 主 曾 经 占 领 此 处 。 
str_center_is_friendly|并 非 我 们 的 敌 人 。 
str_center_is_already_besieged|正 遭 到 围 攻 。 
str_center_is_looted_or_raided_already|已 被 夷 为 平 地 。 
str_center_marshal_does_not_want_to_attack_innocents|这 里 住 着 平 民 ， 若 土 地 化 为 焦 土 ， 受 苦 最 深 的 便 是 他 们 。 
str_center_we_have_already_committed_too_much_time_to_our_present_siege_to_move_elsewhere|正 被 围 攻 ， 此 时 调 兵 他 处 乃 大 忌 。 
str_center_we_are_already_here_we_should_at_least_loot_the_village|近 在 咫 尺 ， 我 们 应 夺 其 财 富 ， 余 者 尽 毁 。 
str_center_far_away_we_can_reconnoiter_but_will_delay_decision_until_we_get_close|NOT USED
str_center_far_away_our_cautious_marshal_does_not_wish_to_reconnoiter|路 途 遥 远 ， 连 侦 察 都 难 。 
str_center_far_away_even_for_our_aggressive_marshal_to_reconnoiter|路 途 遥 远 ， 连 侦 察 都 难 。 
str_center_far_away_reason|路 途 遥 远 ， 连 侦 察 都 难 。 
str_center_closer_but_this_is_not_enought|{s6}比 {s5}离 我 们 的 中 心 更 远 ， 攻 下 后 更 难 守 护 。 
str_center_protected_by_enemy_army_aggressive|{s6}虽 比 {s5}更 靠 近 边 境 ， 却 因 他 故 暂 不 对 {s6}用 兵 。 
str_center_protected_by_enemy_army_cautious|敌 军 重 兵 把 守 ， 实 力 远 胜 我 军 。 
str_center_cautious_marshal_believes_center_too_difficult_to_capture|敌 军 大 军 驻 守 ， 我 们 无 胜 算 。 
str_center_even_aggressive_marshal_believes_center_too_difficult_to_capture|必 将 是 一 场 血 战 ， 且 风 险 极 高 。 
str_center_value_outweighed_by_difficulty_of_capture|守 备 森 严 ， 无 法 攻 取 。 
str_center_value_justifies_the_difficulty_of_capture|价 值 不 足 ， 不 值 得 冒 险 进 攻 。 
str_center_is_indefensible|可 一 举 拿 下 ， 且 值 得 出 兵 。 
str_we_are_waiting_for_selection_of_marshal|离 其 他 要 塞 太 远 ， 难 以 防 守 。 
str_best_to_attack_the_enemy_lands|我 们 正 等 待 元 帅 的 任 命 。 
str_we_believe_the_fortress_will_be_worth_the_effort_to_take_it|我 们 相 信 这 座 堡 垒 值 得 费 一 番 功 夫 攻 下 。 
str_we_will_gather_to_defend_the_beleaguered_fortress|我 们 将 集 结 兵 力 ， 驰 援 那 座 被 围 的 堡 垒 。 
str_the_enemy_temporarily_has_the_field|敌 人 只 是 暂 时 占 了 上 风 ， 我 们 得 先 避 避 风 头 ， 等 风 暴 过 去 。 
str_center_has_not_been_scouted|我 军 最 近 未 曾 侦 察 该 地 ， 但 可 先 行 前 往 ， 待 靠 近 后 再 作 打 算 。 
str_we_have_assembled_some_vassals|我 们 已 召 集 部 分 封 臣 ， 但 仍 需 更 多 人 手 ， 方 可 踏 入 敌 境 。 
str_we_are_waiting_here_for_vassals|我 们 正 在 等 待 封 臣 前 来 会 合 。 
str_we_are_travelling_to_s11_for_vassals|我 们 正 赶 往 {s11}， 好 让 封 臣 们 在 我 军 出 征 前 更 易 集 结 。 
str_center_strength_not_scouted|我 们 最 近 未 曾 侦 察 ， 不 知 其 守 备 强 弱 。 
str_center_strength_strongly_defended|我 们 判 断 该 地 守 备 森 严 。 
str_center_strength_moderately_defended|我 们 判 断 该 地 守 备 一 般 。 
str_center_strength_weakly_defended|我 们 判 断 该 地 守 备 薄 弱 。 
str_center_distant_from_concentration|该 地 距 我 们 比 距 已 探 明 之 敌 主 力 更 近 ， 可 趁 敌 未 及 反 应 ， 速 攻 拔 之 。 
str_plus|+
str_minus|-
str_tutorial_training_ground_warning_no_weapon|嘿 ， 你 不 觉 得 动 手 前 得 先 拿 件 兵 器 ？ 那 边 有 备 用 的 ， 去 挑 一 把 趁 手 的 。 
str_tutorial_training_ground_warning_shield|你 得 先 放 下 盾 牌 。 向 下 滚 动 鼠 标 滚 轮 即 可 收 盾 。 
str_tutorial_training_ground_warning_melee_with_parry|此 训 练 需 装 备 近 战 武 器 。 
str_tutorial_training_ground_warning_melee|向 上 滚 动 鼠 标 滚 轮 以 拔 出 武 器 ； 上 滚 切 换 下 一 件 武 器 ， 下 滚 切 换 下 一 件 盾 牌 。 
str_tutorial_training_ground_attack_training|成 功 攻 击 次 数 ： {reg0} / 5^失 败 攻 击 次 数 ： {reg1}^{s0}
str_tutorial_training_ground_attack_training_down|发 动 一 次 突 刺 ！ （ 按 住 鼠 标 左 键 并 向 下 移 动 鼠 标 ） 
str_tutorial_training_ground_attack_training_up|上 劈 攻 击 ！ （ 按 住 鼠 标 左 键 并 向 上 移 动 鼠 标 ） 
str_tutorial_training_ground_attack_training_left|左 砍 攻 击 ！ （ 按 住 鼠 标 左 键 并 向 左 移 动 鼠 标 ） 
str_tutorial_training_ground_attack_training_right|右 砍 攻 击 ！ （ 按 住 鼠 标 左 键 并 向 右 移 动 鼠 标 ） 
str_tutorial_training_ground_parry_training|成 功 格 挡 次 数 ： {reg0} / 5
str_tutorial_training_ground_chamber_training|成 功 格 挡 次 数 ： {reg0} / 5
str_tutorial_training_ground_archer_training|精 准 射 击 次 数 ： {reg0} / 3^{s0}
str_tutorial_training_ground_ammo_refill|训 练 用 弹 药 已 补 充 。 
str_tutorial_training_ground_archer_text_1|靠 近 {s0}并 按 F 键 拾 取 。 
str_tutorial_training_ground_archer_text_2|现 在 射 击 目 标 。 
str_tutorial_training_ground_archer_text_3|准 星 大 小 代 表 射 击 精 度 。 按 住 鼠 标 左 键 不 放 ， 直 到 准 星 缩 至 最 小 ； 在 准 星 最 小 时 松 开 左 键 。 若 等 待 过 久 ， 准 星 会 再 次 扩 大 。 
str_tutorial_training_ground_archer_text_4|按 R 键 切 换 第 一 人 称 视 角 。 第 一 人 称 视 角 更 便 于 远 程 武 器 瞄 准 。 
str_tutorial_training_ground_archer_text_5|你 已 射 中 所 有 目 标 ， 回 去 找 教 练 交 谈 。 
str_tutorial_training_ground_horseman_text_1|走 近 {s0}并 按 F 键 拾 取 。 
str_tutorial_training_ground_horseman_text_2|靠 近 马 匹 并 按 F 键 上 马 。 
str_tutorial_training_ground_horseman_text_3|骑 向 下 一 个 标 记 点 。 
str_tutorial_training_ground_horseman_text_4|攻 击 头 顶 有 箭 头 的 假 人 ！ 
str_tutorial_training_ground_horseman_text_5|射 击 头 顶 有 箭 头 的 箭 靶 ！ 
str_tutorial_training_ground_horseman_text_6|训 练 圆 满 完 成 ， 回 去 找 教 练 交 谈 。 
str_the_great_lords_of_your_kingdom_plan_to_gather_at_your_hall_in_s10_for_a_feast|王 国 诸 位 大 领 主 将 齐 聚 你 {s10}的 大 厅 ， 共 赴 盛 宴 。 
str_your_previous_court_some_time_ago|你 此 前 的 求 爱 已 过 去 一 段 时 日 。 
str_awaiting_the_capture_of_a_fortress_which_can_serve_as_your_court|等 待 夺 回 一 座 要 塞 ， 作 为 你 的 宫 廷 。 
str_but_if_this_goes_badly|我 重 视 你 的 建 议 。 但 若 事 情 搞 砸 ， 我 会 追 究 你 的 责 任 。 
str_i_realize_that_you_are_on_good_terms_with_s4_but_we_ask_you_to_do_this_for_the_good_of_the_realm|我 明 白 你 与 {s4}交 情 不 错 ， 但 这 都 是 为 了 王 国 的 利 益 。 
str_i_realize_that_you_are_on_good_terms_with_s4_but_the_blow_will_hurt_him_more|我 明 白 你 与 {s4}交 情 不 错 — — 正 因 如 此 ， 你 的 打 击 才 更 让 他 痛 彻 心 扉 ！ 
str_killed_bandit_at_alley_fight|商 人 把 你 带 进 他 的 屋 子 。 一 进 门 ， 他 先 倚 在 门 边 张 望 街 道 ， 确 认 无 人 跟 踪 后 ， 才 靠 近 你 开 口 … … 
str_wounded_by_bandit_at_alley_fight|你 被 击 倒 在 地 。 但 在 失 去 意 识 前 ， 你 听 见 喊 声 与 纷 乱 的 脚 步 声 … … 醒 来 时 ， 你 已 躺 在 屋 内 ， 虚 弱 却 活 着 。 
str_cannot_leave_now|现 在 不 能 离 开 。 
str_press_tab_to_exit_from_town|按 Tab 键 即 可 离 开 。 游 戏 中 随 时 可 用 Tab 键 快 速 退 出 任 何 地 点 。 
str_find_the_lair_near_s9_and_free_the_brother_of_the_prominent_s10_merchant|找 到 {s9}附 近 的 匪 巢 ， 救 出 {s10}商 人 的 兄 弟 。 
str_please_sir_my_lady_go_find_some_volunteers_i_do_not_know_how_much_time_we_have|{reg59?女 士 :先 生 }— — 若 想 证 明 我 托 付 给 你 的 信 任 ， 就 抓 紧 些 。 去 招 募 志 愿 者 ， 我 不 确 定 还 剩 多 少 时 间 。 
str_you_need_more_men_sir_my_lady|听 着 ， 你 需 要 更 多 人 。 眼 下 队 伍 只 有 {reg0}人 。 若 兵 力 不 足 就 进 攻 ， 你 只 会 被 锁 链 拖 进 他 们 的 老 巢 ， 这 绝 非 计 划 。 别 冒 险 ， 再 去 几 个 村 庄 招 募 ， 然 后 以 牙 还 牙 。 
str_good_you_have_enough_men|很 好 ， 你 干 得 漂 亮 。 人 手 已 足 ， 现 在 去 敲 烂 那 些 强 盗 的 脑 袋 ， 逼 他 们 说 出 藏 身 之 处 。 
str_do_not_waste_time_go_and_learn_where_my_brother_is|听 着 ， {reg59?女 士 :先 生 }， 时 间 紧 迫 。 若 你 能 查 出 我 兄 弟 被 关 在 哪 ， 我 将 感 激 不 尽 。 
str_start_up_quest_message_1|{s9}说 在 {s1}能 找 到 线 索 ， 我 得 去 问 问 村 里 的 长 老 索 里 克 。 
str_start_up_quest_message_2|索 里 克 说 ， 道 琴 嘉 附 近 的 据 点 肯 尼 莫 的 雅 尔 ， 或 许 知 道 “ 牛 颈 ” 斯 温 的 下 落 。 
str_start_up_quest_message_3|从 {s9}附 近 的 匪 巢 救 出 商 人 的 兄 弟 。 
str_start_up_first_quest|你 已 接 受 首 个 任 务 。 随 时 按 Q 查 看 任 务 日 志 。 ^^要 离 开 此 处 （ 或 任 何 场 景 ） ， 请 按 Tab 键 。 
str_reason_1|我 们 当 前 的 目 标 价 值 更 高 。 
str_reason_2|进 攻 {s8}会 给 王 国 带 来 更 大 危 险 。 
str_reason_3|我 们 认 为 {s8}正 面 临 更 紧 迫 的 威 胁 。 
str_reason_4|也 许 是 因 为 该 区 域 敌 军 的 规 模 。 
str_reason_5|我 不 确 定 。 
str_reason_6|我 们 不 知 道 它 的 防 守 有 多 强 硬 。 
str_reason_7|我 们 认 为 它 的 防 守 很 强 硬 。 
str_reason_8|我 们 认 为 它 的 防 守 还 可 以 。 
str_reason_9|我 们 认 为 它 的 防 守 很 虚 弱 。 
str_has_decided_that_an_attack_on_|已 决 定 进 攻 
str_this_would_be_better_worth_the_effort|考 虑 到 它 的 价 值 ， 以 及 它 的 距 离 ， 还 有 可 能 的 防 守 人 数 ， 很 值 得 放 手 一 搏 。 
str_has_decided_to_defend_|已 经 决 定 防 御 。 
str_before_going_offensive_we_should_protect_our_lands_if_there_is_any_threat_so_this_can_be_reason_marshal_choosed_defending_s4|进 攻 之 前 我 们 应 该 保 证 领 土 内 没 有 威 胁 ， 这 就 是 元 帅 选 择 防 守 {s4}的 原 因 。 
str_are_you_all_right|哈 — — 你 醒 了 ， 你 还 能 走 路 真 是 太 好 了 。 外 乡 人 ， 你 真 是 幸 运 ！ 冥 冥 之 中 神 灵 在 保 佑 着 你 。 你 刚 到 这 里 的 时 候 简 直 半 死 不 活 。 
str_you_are_awake|哈 — — 你 醒 了 ， 你 还 能 走 路 真 是 太 好 了 。 外 乡 人 ， 你 真 是 幸 运 ！ 冥 冥 之 中 神 灵 在 保 佑 着 你 。 你 刚 到 这 里 的 时 候 简 直 半 死 不 活 。 
str_save_town_from_bandits|哈 — — 你 醒 了 ， 你 还 能 走 路 真 是 太 好 了 。 外 乡 人 ， 你 真 是 幸 运 ！ 冥 冥 之 中 神 灵 在 保 佑 着 你 。 你 刚 到 这 里 的 时 候 简 直 半 死 不 活 。 
str_you_fought_well_at_town_fight_survived|从 山 贼 手 中 救 回 {s9}。 
str_you_fought_normal_at_town_fight_survived|哈 ！ 干 得 好 ！ 我 看 见 你 至 少 干 掉 了 三 个 敌 人 。 保 持 这 样 的 表 现 ， 继 续 战 斗 下 去 ， 你 一 定 会 在 这 片 大 陆 上 扬 名 立 万 的 。 
str_you_fought_bad_at_town_fight_survived|干 得 好 ！ 我 听 说 你 干 掉 了 一 两 个 混 蛋 ， 而 自 己 却 毫 发 无 伤 。 对 于 一 场 战 斗 来 说 ， 没 有 什 么 比 这 样 的 结 果 更 好 了 … … 
str_you_fought_well_at_town_fight|嗯 ， 敌 人 一 命 归 天 ， 而 你 看 上 去 没 什 么 问 题 。 当 你 考 虑 了 所 有 情 况 之 后 ， 这 才 是 战 斗 最 重 要 的 结 果 。 
str_you_wounded_at_town_fight|啊 ！ 你 醒 了 。 你 被 狠 狠 地 打 了 一 下 ， 看 ， 打 在 了 这 个 部 位 。 不 过 我 还 有 个 好 消 息 ， 我 们 击 败 他 们 了 。 虽 然 你 倒 下 了 ， 可 在 此 之 前 ， 你 确 实 给 了 他 们 沉 重 的 打 击 。 要 是 你 没 能 活 过 来 ， 那 一 切 就 太 糟 糕 了 。 我 很 感 激 你 … … 
str_you_fought_well_at_town_fight_survived_answer|啊 ！ 你 活 过 来 了 。 这 下 我 们 能 宽 慰 一 点 了 。 你 被 狠 狠 地 打 了 一 下 ， 看 ， 打 在 了 这 个 部 位 。 我 不 知 道 你 到 底 干 掉 了 几 个 敌 人 ， 不 过 谢 天 谢 地 ， 其 余 的 人 最 终 把 他 们 打 败 了 。 我 们 得 为 你 安 排 进 一 步 的 治 疗 … … 
str_you_fought_normal_at_town_fight_survived_answer|让 所 有 恶 人 都 为 {playername}之 名 而 战 栗 吧 ！ 
str_you_fought_bad_at_town_fight_survived_answer|嗯 ， 我 正 准 备 干 掉 一 个 家 伙 ， 就 滑 倒 在 血 水 里 了 ， 你 懂 的 … … 
str_you_fought_well_at_town_fight_answer|啊 ， 好 吧 。 我 想 我 不 会 介 意 因 为 正 当 理 由 而 挨 上 的 一 击 。 
str_you_wounded_at_town_fight_answer|对 。 我 是 应 该 更 小 心 些 。 
str_unfortunately_reg0_civilians_wounded_during_fight_more|不 幸 的 是 ， 我 手 下 的 小 伙 子 们 大 约 有 {reg0}个 人 受 伤 了 。 我 得 去 看 看 他 们 。 
str_unfortunately_reg0_civilians_wounded_during_fight|不 幸 的 是 ， 我 的 一 个 手 下 受 了 很 重 的 伤 。 我 得 去 看 看 他 怎 么 样 了 。 
str_also_one_another_good_news_is_any_civilians_did_not_wounded_during_fight|而 且 ， 我 们 这 边 没 有 任 何 人 伤 得 很 严 重 。 这 是 个 好 消 息 。 
str_merchant_and_you_call_some_townsmen_and_guards_to_get_ready_and_you_get_out_from_tavern|你 离 开 了 酒 馆 ， 来 到 大 街 上 。 在 每 一 个 街 角 ， 你 都 能 看 到 那 些 看 上 去 很 紧 张 的 年 轻 人 。 当 你 路 过 ， 你 能 发 现 藏 在 他 们 衣 服 下 的 匕 首 和 棍 棒 ， 以 及 他 们 那 种 混 杂 着 恐 惧 、 期 待 和 自 豪 的 目 光 。 真 希 望 你 的 敌 人 并 没 有 因 为 这 些 太 过 明 显 的 破 绽 而 引 起 警 惕 ， 你 最 后 检 查 了 一 下 自 己 的 武 器 ， 准 备 开 始 行 动 。 
str_town_fight_ended_you_and_citizens_cleaned_town_from_bandits|残 余 的 匪 徒 四 散 逃 亡 ， 躲 进 了 城 镇 里 那 些 狭 窄 的 巷 子 ， 结 果 只 能 是 被 愤 怒 的 居 民 们 一 个 一 个 地 捉 住 。 你 已 经 取 得 了 完 全 的 胜 利 ， 而 受 伤 的 人 也 都 得 到 了 治 疗 。 确 认 完 这 些 事 之 后 ， 你 和 商 人 回 到 他 的 房 子 里 ， 回 顾 起 发 生 的 所 有 事 情 。 
str_town_fight_ended_you_and_citizens_cleaned_town_from_bandits_you_wounded|你 被 一 击 击 倒 了 ， 动 弹 不 得 ， 你 挣 扎 着 不 让 自 己 晕 过 去 。 很 快 打 斗 声 消 失 了 ， 取 而 代 之 的 是 市 民 们 的 欢 呼 声 ， 你 意 识 到 是 你 们 获 胜 了 。 很 快 ， 你 感 觉 到 你 被 同 伴 们 抬 了 起 来 ， 你 放 下 心 来 ， 终 于 支 撑 不 住 昏 睡 了 过 去 。 数 小 时 后 你 在 商 人 的 房 间 醒 了 过 来 。 
str_seabattle_tutorial|你 现 在 是 船 长 了 ！ 你 需 要 下 达 命 令 :^> 'Up'和 'Down'键 改 变 行 驶 速 度 。 ^> 'Right'和 'Left'键 来 改 变 方 向 。 ^> 'Enter'来 升 帆 或 者 降 帆 。 ^> 'Backspace'来 改 变 你 的 视 角 。 ^^下 达 命 令 只 需 要 按 下 按 键 即 可 ， 不 用 按 住 不 放 。 在 右 上 角 你 可 以 看 到 当 前 船 只 的 命 令 。 
str_bodo_animos|博 多 大 喊 ， “ {playername}！ 战 斗 吧 ！ 我 与 你 共 进 退 ！ ” 
str_journey_to_reyvadin|你 到 达 了 位 于 东 盎 格 利 亚 的 剑 桥 。 当 你 到 达 时 ， 你 发 现 当 地 居 民 都 面 带 恐 惧 地 看 着 你 ， 并 且 不 由 自 主 伸 手 摸 向 自 己 的 武 器 。 ^^这 里 居 住 着 安 南 · 恩 宁 统 治 下 的 盎 格 鲁 人 。 来 自 麦 西 亚 的 盎 格 鲁 人 入 侵 了 这 里 ， 杀 死 了 这 里 的 居 民 和 国 王 ， 声 称 这 是 他 们 的 领 土 ， 以 至 于 这 里 的 战 乱 从 来 就 没 有 平 息 过 。 安 南 · 恩 宁 是 一 个 基 督 徒 ， 一 个 正 直 善 良 的 基 督 徒 ， 但 是 当 他 亲 眼 目 睹 自 己 的 兄 弟 和 国 王 被 麦 西 亚 国 王 潘 达 杀 死 之 后 ， 他 变 成 了 一 头 寻 求 复 仇 的 野 兽 。 
str_journey_to_praven|你 的 脚 步 把 你 带 往 寒 冷 的 北 方 。 这 个 名 为 阿 尔 特 · 克 卢 特 的 国 家 ， 国 土 广 袤 ， 气 候 寒 冷 ， 大 部 分 国 土 被 森 林 覆 盖 。 布 立 吞 人 建 立 了 阿 尔 特 · 克 卢 特 ， 强 壮 而 又 坚 韧 的 布 立 吞 人 擅 长 使 用 犁 来 耕 种 ， 使 用 矛 来 战 斗 。 ^^这 里 的 统 治 者 是 比 利 · 爱 普 · 尼 松 ， 相 传 他 拥 有 古 老 高 贵 的 血 统 。 比 利 已 经 接 近 50 岁 了 ， 但 是 他 依 然 强 壮 ， 宝 刀 未 老 。 
str_journey_to_jelkala|欢 迎 来 到 拉 克 车 尔 ， 爱 尔 兰 的 明 珠 。 眼 下 你 在 一 个 年 轻 的 国 家 — — 艾 尔 吉 拉 ， 当 初 建 立 这 个 国 家 的 三 个 王 子 非 常 好 战 ， 他 们 通 常 被 称 为 三 剑 客 ， 征 服 了 乌 莱 的 大 片 土 地 。 由 于 长 期 与 乌 莱 作 战 ， 艾 尔 吉 拉 的 一 切 都 以 战 争 为 中 心 。 ^^现 在 的 统 治 者 是 傲 慢 而 又 好 战 的 奥 德 哈 尔 · 蔡 斯 王 子 ， 现 在 他 的 声 势 还 能 镇 得 住 敌 人 ， 但 是 等 他 死 了 就 说 不 准 了 。 
str_journey_to_sargoth|你 来 到 了 位 于 塞 特 威 尔 境 内 的 坎 特 瓦 拉 堡 ， 这 里 由 艾 巴 德 · 艾 弗 伯 宁 统 治 。 他 们 的 祖 先 是 不 列 颠 统 治 者 ， 不 过 这 个 头 衔 已 经 落 到 了 另 一 名 北 方 霸 主 的 手 上 ： 贝 纳 西 亚 的 奥 斯 瓦 德 。 艾 巴 德 现 在 与 不 列 颠 和 法 兰 克 人 中 最 具 有 权 势 的 领 主 们 保 持 着 良 好 的 关 系 ， 使 他 的 王 国 能 左 右 逢 源 ， 在 战 乱 中 一 直 保 持 着 罕 见 的 繁 荣 与 稳 定 。 这 是 一 个 落 地 生 根 ， 结 婚 生 子 的 好 地 方 … … 至 少 现 在 还 是 这 样 。 
str_journey_to_tulga|你 走 到 船 沿 ， 目 睹 着 圭 内 斯 高 耸 的 海 崖 出 现 在 面 前 。 很 快 你 到 达 了 王 国 的 首 都 丁 戈 温 。 走 进 城 去 ， 你 发 现 这 里 的 街 道 昏 暗 而 寂 静 。 伟 大 的 战 士 兼 国 王 卡 特 瓦 隆 在 两 年 前 去 世 了 ， 圭 内 斯 至 今 仍 然 在 悼 念 他 的 死 亡 。 他 死 前 留 下 了 一 个 3 岁 的 儿 子 — — 卡 瓦 拉 德 。 母 亲 圭 内 斯 在 整 个 不 列 颠 都 赫 赫 有 名 的 战 士 们 被 召 集 起 来 ， 参 与 到 了 今 年 发 动 的 战 争 之 中 ， 他 们 披 坚 执 锐 ， 蓄 势 待 发 。 ^^卡 法 尔 · 卡 道 迈 德 取 代 了 这 个 3 岁 的 孩 子 和 他 的 母 亲 ， 成 为 了 这 个 王 国 新 一 任 的 统 治 者 。 他 扬 言 要 把 国 家 带 回 往 日 的 荣 耀 之 中 … … 
str_journey_to_shariz|你 现 在 在 艾 萨 克 丘 — — 爱 尔 兰 岛 南 部 王 国 穆 恩 的 一 个 富 有 活 力 的 城 镇 。 这 是 一 片 富 饶 的 土 地 ， 丛 林 茂 盛 ， 河 道 纵 横 ， 水 产 丰 富 ， 本 可 以 成 为 一 处 和 平 宁 静 的 好 地 方 ， 只 可 惜 爱 尔 兰 是 战 火 之 岛 ， 在 这 里 几 乎 任 何 理 由 都 可 以 当 做 战 争 的 借 口 ， 战 士 们 互 相 残 杀 ， 血 流 成 河 。 ^^穆 恩 的 统 治 者 是 法 尔 保 · 弗 兰 · 麦 · 艾 德 ， 他 野 心 勃 勃 ， 只 要 能 扩 张 领 土 和 削 弱 拉 因 王 国 ， 他 什 么 都 愿 意 尝 试 。 
str_lost_tavern_duel_ordinary|你 猛 地 跌 倒 在 地 板 上 ， 你 被 醉 汉 打 倒 了 。 攻 击 你 的 人 的 怒 气 烟 消 云 散 ， 他 坐 在 椅 子 上 望 着 你 ， 嘴 里 小 声 抱 怨 着 ， 看 起 来 很 懊 悔 。 一 些 酒 馆 熟 客 把 他 哄 了 起 来 ， 然 后 把 他 推 出 门 去 。 其 中 一 个 人 来 照 料 了 你 受 的 伤 ， 不 一 会 儿 你 也 能 站 起 来 了 ， 虽 然 站 不 太 稳 ， 不 过 命 算 是 保 住 了 。 
str_lost_tavern_duel_assassin|在 敌 人 的 一 记 重 击 下 ， 你 摔 倒 在 地 ， 他 在 你 身 边 蹲 下 ， 不 慌 不 忙 地 抽 出 一 把 长 刀 。 就 在 他 准 备 动 手 了 结 你 的 时 候 ， 掌 柜 似 乎 恢 复 了 他 的 勇 气 ， 悄 悄 出 现 在 他 身 后 ， 朝 着 后 脑 重 重 一 击 。 他 失 去 了 平 衡 ， 同 时 意 识 到 失 去 了 杀 死 你 的 时 机 ， 瞅 准 一 个 机 会 飞 也 似 的 窜 出 了 门 外 ， 逃 走 了 。 酒 馆 里 其 他 客 人 们 走 了 过 来 ， 七 手 八 脚 的 把 受 了 伤 的 你 抬 进 了 房 间 去 休 息 。 
str_lost_startup_hideout_attack|短 暂 休 息 之 后 你 恢 复 了 知 觉 ， 你 发 现 劫 匪 们 砸 开 了 一 桶 蜂 蜜 酒 ， 远 处 的 窝 点 传 来 他 们 欢 庆 的 声 音 ， 而 且 几 乎 毫 无 防 备 ， 甚 至 都 忘 了 捆 住 你 的 手 脚 。 你 计 划 蹑 手 蹑 脚 的 逃 走 ， 但 是 发 现 看 守 你 的 劫 匪 也 去 了 参 加 欢 庆 ， 你 决 定 解 救 一 部 分 你 的 手 下 们 。 
str_as_you_no_longer_maintain_an_independent_kingdom_you_no_longer_maintain_a_court|你 已 不 再 统 治 独 立 王 国 ， 宫 廷 随 之 解 散 。 
str_rents_from_s0|{s0}的 租 子 ： 
str_tariffs_from_s0|{s0}的 关 税 ： 
str_general_quarrel|多 年 争 执 让 我 们 立 场 相 左 ， 积 怨 已 深 。 
str_the_steppes|平 原 
str_the_deserts|群 山 
str_the_tundra|密 林 
str_the_forests|森 林 
str_the_highlands|高 地 
str_the_coast|海 岸 
str_my_lady_not_sufficient_chemistry|夫 人 ， 已 有 其 他 女 子 占 据 我 心 。 
str_my_lady_engaged_to_another|夫 人 ， 据 我 所 知 ， 你 已 许 配 他 人 。 
str_attempting_to_rejoin_party|试 图 重 新 归 队 ， 
str_separated_from_party|离 开 队 伍 ， 
str_whereabouts_unknown|下 落 不 明 。 
str_leading_party|率 领 着 一 支 队 伍 
str_court_disbanded|你 已 不 再 统 治 独 立 王 国 ， 宫 廷 被 迫 解 散 。 
str_i_am_not_accompanying_the_marshal_because_will_be_reappointment|我 不 随 元 帅 出 征 ， 因 我 料 定 君 主 很 快 会 另 择 他 人 。 
str_persuasion_opportunity|劝 说 机 会 ^保 证 成 功 所 需 关 系 ： {reg4}^当 前 关 系 ： {reg5}^成 功 几 率 ： {reg7}^损 失 {reg8}点 关 系 几 率 ： {reg9}
str_marshal_warning|你 未 跟 随 {s1}， 但 不 会 受 罚 。 
str_follow_army_quest_brief_2|你 的 任 务 已 经 完 成 。 如 果 你 还 想 接 受 新 的 任 务 ， 可 以 继 续 跟 随 {s9}的 军 队 。 
str_greetings_playername__it_is_good_to_see_you_i_hope_that_you_have_had_success_in_your_efforts_to_make_your_name_in_the_world|很 高 兴 见 到 你 。 我 相 信 你 在 外 头 干 得 不 错 ， 正 在 闯 出 自 己 的 名 声 。 
str_minister_advice_select_fief|我 建 议 你 选 {s4}， 封 臣 们 一 直 在 猜 你 会 把 它 封 给 谁 。 
str_minister_advice_select_fief_wait|我 建 议 你 等 任 命 元 帅 后 再 决 定 ， 这 样 封 臣 们 才 有 时 间 想 清 楚 要 支 持 谁 。 
str_minister_advice_fief_leading_vassal|顺 便 说 一 句 ， {s4}已 经 得 到 了 你 {reg4}位 封 臣 的 支 持 。 
str_unassigned_center|（ 未 分 封 ） 
