qstr_Breaking_camp...|终止宿营。
qstr__You_are_greeted_by_m|你受到了效忠于你的{s7}的迎接。
qstr_The_rulers_of_the_re|王国的统治者为你冒犯了你的领主而困恼。
qstr_You_make_sure_they_s|你确保他们看到了自己的领主{s11} ，被你的军队俘虏。
qstr_The_{reg6?town_s:for|好像{reg6?城镇里:城堡里}食品仓库中的存粮能够支持{reg3}天({reg7} / {reg8}) 。
qstr_The_{reg6?town_s:fort|{reg6?城镇里:城堡里}食品仓库中已经没有存粮了，守城人员快要饿死了。
qstr_>>Your_men_are_build|> > 你的士兵们正在建造环绕{s4}的防御工事以防止任何人随意进出。^^
qstr_>>Your_perimeter_con|> > 你的环形防御工事准备好了。你在{s4}周围建造了哨所，没有人可以在你的眼皮底下进入或者逃脱，这对你来说很有帮助，尤其是当你和守军指挥官谈判的时候。^^
qstr_>>Your_men_are_ready|> > 你的部下已经准备好突击。
qstr_>>As_a_disciplined_a|> > 作为一支经验丰富的部队，你的士兵们有厕所，管道和水井来凉下来并每周清洗。一个健康的营帐将阻止疾病传播。
qstr_>>Your_men_have_fini|> > 你的士兵们已经完成了挡箭牌的建造。现在你可以用它们保护你的前锋部队进攻，以及你的主力军。
qstr_>>Your_men_have_finis|> > 你的士兵建造好了扩展设施。^^
qstr_>>Your_attempt_to_fi|> > 你试图寻找叛徒的行动失败了。
qstr_>>You_have_found_a_t|> > 你在这{s7}里找到了一名叛徒并支持你占领它。这让敌人投降的几率更大了。
qstr_>>Your_attempt_to_ha|> > 你在{s4}的渗透计划失败了。
qstr_>>Your_men_have_succ|> > 你的人成功渗透进{s4}并让敌人受到了些损伤。
qstr_>>You_ve_managed_to_|> > 你设法掠夺附近的农田和庄稼。
qstr_>>You_have_sent_men_|> 你派人去{s4}寻找叛徒。
qstr_>>You_have_found_a_tr|> > 你在这{s4}里找到了一名叛徒并支持你占领它。这让敌人投降的几率更大了。
qstr_>>Your_men_are_takin|> > 你的士兵在你的命令下掠夺{s4}周围的庄稼。这让敌人投降的几率更大了。
qstr_>>You_have_sent_men_t|> > 你派人渗透{s4} 。
qstr_>>Your_camp_smells_h|> > 你的营地闻起来很糟糕。地面泥泞，你的士兵们在帐篷间排泄，你看到耗子到处跑。
qstr_>>As_a_disciplined_ar|> > 作为一支经验丰富的部队，你的士兵们有厕所，管道和水井来凉下来并每周清洗。一个健康的营帐将阻止疾病传播。
qstr_>>Your_men_are_diggi|> > 你的人在挖洞做厕所和做其他类似的事情来防止疾病。
qstr_You_need_to_have_more|你需要超过250人来完成此项工作。
qstr_You_need_to_have_at_|你至少需要分配40人来找叛徒。
qstr_You_need_more_than_3|你需要超过30人，否则派出士兵后你的营地将没有防备。
qstr_You_need_to_have_more_|你需要超过10人来完成此项工作
qstr_You_need_to_have_more_t|你需要超过80人来完成此项工作
qstr_>>The_assault_equipm|> > 攻城设备已经准备好了，部队在听你待命。
qstr_>>You_look_at_{s4}._|> > 你看到了{s4} 。你的战士们沉默着，等待着你的那向死亡冲锋的命令，你的肌肉紧张起来，为战斗而发热，但你的思维仍旧冷静，肾上腺素充满了你的全身。^一位士兵深呼一口气“你闻到了吗？”他问道，“这是荣耀的味道”。“你准备好攻占这里了吗？”
qstr_>>The_steel_of_the_w|> > 金属制的武器闪着光，旗帜在风中狂舞，号角声响了起来。战士们在低语，大多数是在祈祷，在面对他们生命中最后时刻前讨好他们所信奉的神。前方只有两件事：胜利或死亡。^战争……战争从未改变。
qstr_>>Winter_is_the_wors|> > 冬季是对于战斗来说最坏的时节，但是你正处于这最冷的几个月份当中，准备去着手攻占{s4} 。许多人都认为你是个魔鬼，要么就是一个疯子。但是没有人知道，有一天你将成为不列颠统治者。^
qstr_>>It_s_summer_and_ho|> > 现在正是夏季，还是炎热的夏季，也许太热了。但是在这个时刻，你对什么都没有感觉。按照你的惯例，在战斗前，你总是会留出时间来回忆往事……那么，别再想这些了，准备战斗吧，甚至是最坏的情况：面对死亡。
qstr_>>You_look_at_{s4}._Y|> > 你看到了{s4} 。你的战士们沉默着，等待着你的那向死亡冲锋的命令，你的肌肉紧张起来，为战斗而发热，但你的思维仍旧冷静，肾上腺素充满了你的全身。^一位士兵深呼一口气“你闻到了吗？”他问道，“这是荣耀的味道”。“你准备好攻占这里了吗？”
qstr_>>Your_men_have_finish|> > 你的士兵们已经完成了挡箭牌的建造。现在你可以用它们保护你的前锋部队进攻，以及你的主力军。
qstr_>>Your_men_are_buildi|> > 你的人在建造挡箭牌。
qstr_>>Your_men_have_finishe|> > 你的人建好了攻城梯。
qstr_>>Your_men_are_buildin|> > 你的人在建造攻城梯。
qstr_{s4}_lost_between_40|{s4}失去了大约40到50%的库存粮草。
qstr_{s4}_lost_between_50|{s4}失去了大约50到60%的库存粮草。
qstr_{s4}_lost_between_30|{s4}失去了大约30到40%的库存粮草。
qstr_{s4}_lost_between_10|{s4}失去了大约10到20%的库存粮草。
qstr_{s4}_have_between_10|{s4}失去了大约10到30%的库存粮草。
qstr_It_should_have_food_|^^这里有{reg5}名守军。^库存粮草能维持{reg6}天
qstr_^^The_following_armi|^^目前以下部队驻扎在内：
qstr_^{s3}_with_{reg1}_tr|^{s3}有{reg1}名守军。^
qstr_^^Commander_this_tow|^^指挥官，这座城是块巨岩。我们中许多人在开战前就逃跑了，所以我们必须提高士兵们的士气。通往主城门的路狭窄且陡峭，但是如果我们扎营并建造一个攻城槌就能击破后城墙进入城镇中了。当墙倒下后，我们就不用提心吊胆地爬那窄小的攻城梯了。
qstr_^^Alt_Clut_the_rock_|^^克莱德之岩。不列颠北部最雄伟的堡垒。在你之前没人曾通过攻城夺下它。理查德·希尔国王曾守在克莱德的城门口与贝西尼亚人与皮克特人战斗。
qstr_^^This_formidable_st|^^这座坚不可摧的要塞是多姆诺尼亚之宝。这里有来自迈德特兰尼亚的满载酒和奢侈品的船只。传说亚瑟王就是出生在此地。
qstr_^^Dun_Taruo_the_fort|^^泰罗丘，公牛之堡垒。这个地方似乎是巨人建造的，并且数百年来，它在皮克特人中享有很高的声誉。
qstr_^^The_seat_of_the_br|^^勇敢的高多汀（注：罗马时期不列颠东北部的一支布立吞人）战士的居所。他们在这里发动了对贝西尼亚人的攻击，并且他们英勇地战死将不会被世人所遗忘。你几乎都可以在这里闻到他们勇敢的气息。
qstr_^^This_place_is_just|^^这个地方等待着你来征服。
qstr_As_a_last_defensive_|你撤退到城堡的大厅里进行最后的防御。你和你手下残余的士兵将准备在这里接受一场恶战。如果你战败了，你就无路可退了。
qstr_You_ve_been_driven_a|你被敌人从城墙上赶下去了，现在敌人大量涌入街道内。如果你能击败他们，你也许能扭转局势，反败为胜。
qstr_You_ve_breached_the_|你已经突破了城墙，但是那些顽固的守卫者继续在街道上抵抗你的攻击！你得消灭他们才能攻击城镇中心的城堡。
qstr_The_town_centre_is_y|这个城镇的镇广场是你的了，但是剩下的守卫者撤退到城堡里了。你要完全消灭他们才能取得完全的胜利。
qstr_The_remaining_defend|剩下的守卫撤退到城堡这个最后的防线。你必须冲进去清除剩余的抵抗力量。
qstr_{s10}^^|{s10}^^
qstr_{s10}You_may_decide_|{s10}你可以禁止你的手下掠夺{reg2?城镇: 要塞} ，如果你想为你的阵营征服它，不过你的部队会失去士气。
qstr_{s10}You_can_allow_s|{s10}你可以掠夺并占据{reg2?城镇: 城堡} 。
qstr_However_since_you_ar|然而，因为你不是{s9}的效忠者，他是绝对不会承认你是这个{reg8?城镇:城堡}的领主。
qstr_The_enemy_has_been_f|敌人被迫撤退了。进攻停止了，但是围城还在继续。
qstr_As_you_approach_you_|当你接近时，你被守卫发现了，他们打开了大门欢迎他们的{国王/ 女王} 。
qstr_As_you_approach_you_a|当你接近时，你被守卫发现了，他们打开了大门欢迎他们的{领主/ 夫人} 。
qstr_^Christians_aren_t_w|^基督徒不受欢迎。
qstr_^Christians_are_acce|^基督教徒在此被接受。
qstr_^Christians_are_in_t|^基督徒是这里的主流。
qstr_^Christians_are_domi|^基督信仰在此根深蒂固。
qstr_^This_village_is_a_b|^这个村子是你信仰的堡垒。
qstr_^Rumor_has_it_that_C|^有传言说基督信仰不过是一个骗局，人们仍然信仰多神教……
qstr_^Pagans_aren_t_welco|^多神教徒不受欢迎。
qstr_^Pagans_are_accepted|^多神教徒在此被接受。
qstr_^Pagans_are_in_the_m|^多神教徒是这里的主流。
qstr_^Pagans_are_dominant|^多神教信仰在此根深蒂固。
qstr_^Rumor_has_it_that_o|^有传言说为了给基督教开路，旧的多神教信仰已经被禁止。
qstr_This_village_and_the|这村庄和附近的土地属于你。
qstr_You_remember_that_th|你记得这村子和周围的土地属于{s7} 。
qstr_These_lands_belong_t|这些土地不属于任何人。
qstr_The_village_is_infes|这个村庄受到{reg8}名{s35}的袭扰。
qstr_The_village_has_been|村庄遭到了掠夺。当你经过那些烧焦的房屋的时候，无数冤魂萦绕不散……
qstr_The_village_is_being|村庄受到了袭击。
qstr_{s10}_{s12}^{s11}{s6|{s10} {s12}^{s11}{s6}{s7}{s15}
qstr_No_one_here_seems_to|这里好像没有人想加入你的部队。
qstr_Try_as_you_might_you|不论你怎么努力，你都没有能打败这些强盗。强盗们十分生气地烧毁了村子来报复那些农民，然后离开这个烧焦的地方去寻找别的地方进行掠夺。
qstr_castle|城堡
qstr_The_{s17}_has_no_imp|{s17}没有升级的设施。
qstr_The_{s17}_has_the_fo|{s17}拥有以下设施：{s18} 。
qstr___Christian_riots_co| (基督徒暴乱：将会失去{reg33} 好感)
qstr___Pagan_riots_could_| (多神教徒暴乱：将会失去{reg33} 好感)
qstr_Your_enemies_beat_yo|你的敌人击倒了你，将你丢在战场上，静静等待死亡的降临……
qstr_You_have_fallen._You|你被击倒了。你的敌人马上搜寻了你的包裹，然后消失在了茫茫夜色中。但他们没想到你虽然奄奄一息，但还活着。
qstr_Luckily_some_of_your|很幸运的是，你的一些同伴发现你没有回来就出来寻找你，并且发现你躺在路边。他们急忙把你抬带安全的地方并为你包扎伤口。
qstr_Luckily_some_passing|很幸运的是，一些路过的镇民发现你躺在路边上，他们差点就把你当成乞丐了。他们把你抬到最近的旅馆里并为你包扎伤口。
qstr_Going_through_the_ba|翻了翻土匪的钱包，你发现一块肮脏的破的牛皮纸与“杀死”，你的名字的一部分仍然可见。翻看另一面，你看到了“在{s3}和我会面”。
qstr_Your_efforts_prove_s|你的努力是成功的，有些人已经改变了他们的信仰。
qstr_Your_efforts_to_conv|你的努力是失败的。
qstr_You_fail_to_steal_an|你没能偷到一头牛。
qstr_You_drive_away_{reg1|你从这个村庄的牛圈里赶走了{reg17}头牛。
qstr_People_aren_t_very_h|人们对于你在他们地盘上的所作所为感到很不开心。
qstr_^This_town_is_a_bast|^这座城市是你信仰的堡垒。
qstr__As_you_reach_the_sett|当你到达这个地方的时候，你受到了你手下的人的欢迎。^{s15}
qstr_{s11}^{s15}|{s11}^{s15}
qstr__As_you_reach_the_settl|当你到达这个地方的时候，你受到了{s7}手下的人的欢迎。^{s15}
qstr__This_fort_seems_to_|这座堡垒似乎不属于任何人。^{s15}
qstr_You_are_greeted_by_m|你受到了你手下的欢迎。^{s15}
qstr_You_are_greeted_by_me|你受到了{s7}手底下的人的欢迎。^{s15}
qstr__This_town_seems_to_|这座城市似乎不属于任何人。^{s15}
qstr__You_have_successful|你成功潜入了。
qstr_{s13}_A_tournament_w|{s13}一场比赛马上要开始了。
qstr_{s10}_{s14}^{s11}{s1|{s10} {s14}^{s11}{s12}{s13}
qstr_An_expensive_horse_i|你获得了一匹昂贵的坐骑作为对你获胜的奖赏。
qstr_A_fat_cow_is_awarded|你获得了一头肥壮的牛作为对你获胜的奖赏。
qstr_You_are_given_a_beau|你获赠一件漂亮的毛皮装饰盔甲，它配得上你作为一位强大的首领的身份。
qstr_They_give_you_a_fine|他们赠与你一柄贵族使用的剑作为对你的奖赏。
qstr_They_appreciate_your|他们很感谢你参加了比赛，他们给你戴上了光荣的花环。
qstr_Moreover_you_earn_{r|另外，你聪明地在自己身上下了注，获得了{reg8} 先令的回报。
qstr_Victory_is_yours!_Yo|你赢了！你在这场混战中获胜了，但是你得准备好进入下一轮比赛。
qstr_You_have_been_bested|你在混战中被打败了，但是竞技场老板相当认可你的技能和勇气，允许你进入下一轮比赛。
qstr_You_were_beaten._The|你被打败了，这些农民被他们的胜利所鼓舞，但是你想教给他们的东西他们可能没有真正掌握……
qstr_After_beating_your_l|在你击倒最后一个对手后，你向这些农民解释怎样更好地防御这样的一击。希望他们能接受这些经验，下次能提前做好准备。
qstr_The_bandits_are_brok|这些强盗被打败了！那些还活着的和意识还清醒的都夹着尾巴逃跑了，他们惧怕这些农民和他们的新教官。
qstr_Can_t_merge_both_fle|不能合并舰队，因为你的提督技能不够高
qstr_Can_t_merge_both_flee|不能合并舰队，因为这将超过七艘舰队的限制。
qstr_Fleets_merged.|合并舰队。
qstr_The_trader_you_are_e|你护送的商队不能使用渡轮
qstr_The_ferry_station_is|轮渡站太小，不能运输领主和他的整个军队。
qstr_You_can_t_enter_the_|你不能进入这个港口，因为你在这里不受欢迎。
qstr_You_can_t_enter_the_p|你不能进入这个港口，因为你在这里不受欢迎，而且你也无法从海上对这座城市发起攻击。
qstr_You_can_t_enter_the_po|你不能进入这个港口。你在这个港口里已经有了一支船队，而且你的提督技能不足够驾驭船队合并之后船只的数目。
qstr_You_can_t_enter_the_por|你不能进入这个港口。你在这个港口里已经有了一支船队，并且由于合计数目超过了7艘，你不能将这两支船队合并。
qstr_You_already_have_a_f|你在这个港口里已经有了一支船队，你想将这两支船队合并吗？
qstr_Unfortunately_{reg3?|不幸的是，{reg3?你:{s1}}找不到可以带来利润的贸易商品。
qstr_^Buying_{s4}_here_an|^在这里购进{s4}并在{s5}卖出的话，每一件商品可以为你带来{reg6} 先令的利润。{s3}
qstr_{reg3?You_find:{s1}_|{reg3?你:{s1}}找到下列物品：^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1}个{s1}获得{reg0}点经验。
qstr_{s2}^{s1}_earned_an_|{s2}^{s1}获得了{reg0}点额外的经验。
qstr_^You_earned_{reg0}_e|^你获得了{reg0}点经验。{s2}
qstr_The_training_didn_t_|训练进行得很糟糕。
qstr_The_training_didn_t_g|训练进行得不太好。
qstr_The_training_went_qu|训练进行得很好。
qstr_The_training_went_ve|训练进行得非常好。
qstr_The_training_went_pe|训练进行得很完美。
qstr_You_fall_on_the_grou|你带着浑身的伤口，倒在地上——心脏越跳越慢，视线渐渐模糊。你在战斗中失败了，死亡正缓缓而来。^^在生命消逝之际，你只是希望有人会记得，曾经有一个叫做{playername}的人。
qstr_After_losing_the_sea|海战失败之后，你趴在浮木上漂了好久，经过的渔民们将你带回了附近的村庄。你失去了你所有的船只和士兵。
qstr_Your_enemies_take_yo|你被敌人俘虏了。
qstr_{s13}_asked_you_to_r|{s13}要你带着至少{reg13}人去向他报告。
qstr_{s13}_ordered_you_to|{s13}命令你参加对{s14}的攻击。
qstr_Kingdom_Fails_to_Res|王国没有反应：{s1} 没有回应{s2} 的挑衅。并且{s3}将会丢面子。{reg4?她:他}更加好战……
qstr_There_has_been_an_al|有涉嫌边境事件：{s9}
qstr_There_has_been_an_all|发生了一起所谓的国境纷争，{s4}的人正考虑发动对{s3}的战争。
qstr_Border_incident:_Wor|边境事件：你听到消息说{s9}。虽然你不知道是否传言是真的，但你清楚——这个看似微小的事件引发了{s4} 的人民之间的激情，让他们更容易去对抗{s3}……
qstr_The_great_lords_of_y|你国的大领主，计划为{s15} 在{s10} 的大厅举办一场盛宴。
qstr_^{s64}^|^{s64}^
qstr_^^Note_that_as_long_|^^记住，只要你还是元帅，领主们就会希望你能领导他们取得战役的胜利。所以，如果你想要开一场宴会，不管是为了庆祝婚礼还是别的什么，你恐怕需要和你向君主请求辞去元帅职位。
qstr_Strange..._You_ve_be|奇怪，你不是睡着了吗，但是你记不得你做了什么梦。你唯一记得清楚的是维京战士们登上了沃登里克号，把武器刺进了船长和水手们的身体……哦，还有博多，那个坎塔布里亚人，战斗起来就像一只走投无路的雄狮，你还清醒的时候他好像在说：“{playername}！战斗！我与你共进退！”^^你记得死亡——你的死亡，当你在敌人的面前倒下的时候。在你向这个世界告别之前，你还能感觉到船上的木板狠狠地撞在你脸上的疼痛。你看见了你的母亲，就在一切终结之前，一个身形硕大的维京人，穿着铁甲——他会是斯温吗？——击碎了她的头，并把她的尸体抛到一边。^^你慢慢往前蠕动，身后留下一串血迹，宁可拿自己去喂鱼，但你什么都不记得了。^^你死了吗？但如果你死了，为什么你能感觉到身上肌肉的酸痛。或者火炉发出的温暖？为什么你能紧紧攥着拳头，张开双眼并且看到房顶上透出的光亮？^^如果你还活着，那么是谁救了你，为什么？
qstr_It_is_night_and_the_|现在是晚上，修道院笼罩在平静的氛围里。
qstr_The_monks_bless_you_|僧侣们为你祈祷，你继续踏上了你的旅途。
qstr_You_don_t_have_enough_|你的钱不够，尴尬了！
qstr_You_need_to_have_more_m|想要做这个的话，你需要更多的人手。
qstr_It_is_night_and_the_h|现在是晚上，霍夫看起来似乎挺安静。
qstr_The_gothi_has_sacrif|祭司为了你的利益屠宰了动物来安抚众神。
qstr_You_are_now_a_pagan_a|你现在是一名多神教徒，奥丁与诺尔斯众神的追随者。
qstr_The_majority_of_your|你队伍中的大部分人是多神教徒，他们支持你的举动。
qstr_The_majority_of_your_|你队伍中的大部分人是基督徒，他们憎恶你的行为。
qstr_In_the_arms_of_the_d|在死去的修道院院长的怀里，你的部下找到了《科伦希尔之经》。
qstr_The_majority_of_your_t|大部分你的部队都是基督教并且支持你的行动。
qstr_The_majority_of_your_tr|大部分你的部队都是多神教徒，讨厌你的行动。
qstr_{s3}_is_in_danger._S|{s3}有危险！在这个村庄被摧毁之前，从牛颈斯温的袭击中拯救它！你需要足够多的士兵来抵挡维京人的攻击！
qstr_Return_to_{s3}_and_i|回到{s3}审问犯人。
qstr_Return_when_you_have|当你部队人数少于55人时再回来复命。
qstr_You_have_saved_{s3}.|你拯救了{s3} ，或许现在是问问{s9}关于他和斯温的关系的好时机。
qstr_{s9}_did_not_come_to|{s9}并没有前来援助{s3} 。索里克怀疑雅尔是牛颈斯温的同谋，是时候和他谈谈了，或者你也可以直接去找国王，告知他{s9}的背叛。
qstr_Loot_Thiaderd_s_camp|洗劫泰德的营地。
qstr_Ahead_in_a_small_cam|前方有一个小营地，那儿有女人和小孩——叛军的妻子和孩子。他们看起来很恐惧，不知道该往哪儿跑。^^这些人当中有泰德的妻子和孩子。这真是一个困难的选择，或许他们在将来会寻求复仇，但他们不是战士。
qstr_A_small_camp_stands_|河边有一个小营地，你可以看见村舍间的女人和孩子。一伙男人——人数很少，但是十分咄咄逼人——前来和你面谈。一个个子很高的人领导着他们。
qstr_Note_2:_You_chose_to|笔记2：你选择杀死泰德的妻子和孩子。
qstr_Thiaderd_is_dead._Yo|泰德死了，你完成了任务。
qstr_Note_2:_You_chose_to_|笔记2：你选择尊重泰德的妻子和儿子的生命。
qstr_Note_2:_You_chose_to_l|笔记2：你选择留着泰德的妻子和儿子的性命。
qstr_You_need_room_for_at|你的部队需要至少一个空格以容纳新成员。
qstr_^^In_the_middle_of_t|^^在要塞的空地中，你看到一群奴隶正在被出售，你的母亲也在其中么？
qstr_Note_2:_In_Sven_s_hi|笔记2：在斯温的藏身处，你找到了博多，沃登里克号上的旅行者之一。通过博多，你知道了维京人袭击之后，沃登里克号上幸存者的下落。你的母亲现在还活着，多亏了博多塞给她那个东西，那个东西使得她对于维京人来说非常重要。
qstr_Return_when_you_have_|当你的部队人数少于25人时回来复命。
qstr_You_think_of_Thora_w|你想起了索拉，那个每天晚上来找你的女人，这个漂亮的女孩或许可以给你生很多很多孩子。
qstr_You_think_of_Thora_wh|你想起了索拉，那个每晚来找埃吉尔的女人。她是她父亲的掌上明珠，她无忧无虑，不需要担心任何事情。
qstr_You_think_of_Thora_a|你想起了索拉。她是她父亲的掌上明珠，她无忧无虑，不需要担心任何事情。
qstr_One_of_the_greatest_|西撒克逊和丹麦人之间最著名的几场战斗中的一场，就是在这里爆发的。你肯定记得那一天的事情，因为你参加过那次战斗。
qstr_This_place_destroyed|这个地方已被你的部下摧毁，除了碎石和灰尘之外，一无所遗。
qstr_Garrison:_{reg5}__li|驻军：{reg5} ( 极限：{reg0})^^你的队伍在避难所里就如同在城堡和城市一样能够得到休息，远离行军路途中的危险，远离厮杀。他们的维护费用也会减少。
qstr_You_need_to_hire_a_c|你需要先雇佣一个厨师。
qstr_It_is_night_and_your|晚上了，你的避难所看起来一切安好，在其他人睡觉的时候也有人在警戒。
qstr_Your_garrison_size_e|你的驻军规模超过了庇护所最大允许的数量，这会导致你的士兵不满及开小差！
qstr_Garrison_limit:_{reg|驻军上限：{reg0}
qstr_The_ramshackle_priso|避难所里面的破旧监狱很不安全。你的队长建议你不要把领主关押在这里。
qstr_You_do_not_have_enoug|你付不起雇人拆毁避难所的钱。
qstr_Refuge_demolished!|避难所被拆毁了！
qstr_Your_men_think_you_v|你的手下对你以德报怨、花钱安排埃吉尔葬礼的行为表示赞许。
qstr_Note_Egil:_Egil_turn|埃吉尔的笔记：在你决定把信件交给西撒克逊后，埃吉尔背叛了你。他攻击了你，你无奈之下只得杀了他。因为他深受大家的喜爱，所以你决定花钱安排他的葬礼。
qstr_Your_men_think_you_ve|在埃吉尔这么背叛你后，你还能花钱安排他的葬礼。你的部下对此表示赞许。
qstr_Message|Message信息
qstr_Your_men_cry_for_Egi|你的部下为埃吉尔的背叛感到悲痛，他们悼念他的死亡。许多人爱戴他，有些人甚至把他当做领袖一样来爱戴。
qstr_Note_Egil:_Egil_turne|埃吉尔的笔记：在你决定把信件交给西撒克逊后，埃吉尔背叛了你。他攻击了你，你无奈之下只得杀了他。你让部下把他埋了。
qstr_Your_men_cry_for_Egil|你的部下为埃吉尔的死感到悲痛，但是他们遵循了你的命令。现在他们开始把你看作是不轻饶叛徒的铁腕领袖了。
qstr_Note_Egil:_Egil_turned|埃吉尔的笔记：在你决定把信件交给西撒克逊后，埃吉尔背叛了你。他攻击了你，你无奈之下只得杀了他。你甚至不准你的部下埋葬他。
qstr_Shortly_after_landin|在登陆不久后，一个盯了你很久的信使骑马向你走来。你注意到了他的黑眼圈，就像是好几天没睡了一样，他的马看起来就要撑不住了。终于，他吸了一口气并大声说：^^
qstr_{s4}_{playername}_my|{s4} “{playername}，我的主人拉弗伯斯·拉格纳逊在听商人说你离开法兰克前往英国后，就派出信使来找你了。他想让你加入他弟兄哈弗丹在雷丁镇的部队，他正在那里指挥对西撒克逊的最后突击。我们从东盎格鲁带着一支大军前进，在雷丁镇建立了强化营地，我们洗劫了那块区域。但是阿尔弗雷德和艾弗德调集了维坦要塞的民兵来攻打我们。幸运的是他们被击退了。^^现在西撒克逊的国王在他弟弟艾弗德的帮助下西撤到了阿先顿，他们在那里又聚集了一支大军准备打我们。因为哈弗丹想在他们聚集到更多人之前和他们交战，所以我们需要你的帮助。恐怕这只是一系列战斗的开始！只要我们赢了，西撒克逊就是我们的了！^^拉弗伯斯主人告诉我要特别提醒你一下，牛颈斯温就在艾弗德的部队里头。”
qstr_{s4}_{playername}_my_|{s4} “{playername}，我的郡长艾弗德·埃塞尔沃夫在听商人说你离开法兰克前往英国后，就派出信使来找你了。他想让你尽快加入他的队伍。因为丹麦人在向西撒克逊进军，所以他在王国周围召集军队。^^他们从西盎格鲁带着一支大军前进，在雷丁镇建立了强化营地，并且洗劫了那里。我们的国王阿尔弗雷德和艾弗德调集了维坦要塞的民兵去攻打在雷丁镇的丹麦人，但是他们击退了我们。现在他们在阿先顿聚集军队准备再去打丹麦人！愿上帝保佑我们，我们会动用所有民兵去对抗丹麦人！如果我们输了，西撒克逊就会和英格兰剩下的地方一样失陷了！^^郡长艾弗德告诉我要特别提醒你一下，牛颈斯温就在哈弗丹的队伍里头。”
qstr_You_met_Orm_the_Blac|你与黑人奥姆决斗并且杀了他。
qstr_Your_party_has_gaine|你的部队士气增加了。
qstr_You_met_{s1}_in_sing|你与{s1}决斗并且赢了。
qstr_This_warrior|这个战士
qstr_The_enemy_party_has_|敌人的部队丧失了士气。
qstr_You_met_{s1}_in_singl|你与{s1}决斗，但是输了。
qstr_Your_party_has_lost_|你的部队士气低落。
qstr_The_low_morale_of_yo|由于你的部队士气低落，一些人企图推翻你的领导。其中一名战士不小心说漏了嘴，你听到了这些。事情暴露以后，战士们公开辱骂你，向你提出决斗挑战，希望借此夺权……一场关乎生死的决斗。
qstr_The_problems_of_mora|你部队中的士气问题导致一名战士准备自己取代你的位置。他向你提出死亡决斗挑战。
qstr_Morale_is_so_low_a_w|士气过于低下，一个战士在你走近他的时候侮辱了你，指责你不是个称职的领袖。然后他向你发起决斗。胜者将取代你现在的位置。
qstr_The_Assembly_has_tak|议事会接受了你的案件。你必须尽快赶去{s3}附近的议事会，以免他们决定对抗你。
qstr_Note_Reginhard:_Regin|雷因哈德的笔记：雷因哈德在议事会上背叛了你，因此你不得不在一场由议事会主持的决斗中杀了他。最后你将埃吉尔赶走了，因为他的他的傲慢和不敬冒犯了你。
qstr_Note_Egil:_Reginhard_be|埃吉尔的笔记：雷因哈德在议事会上背叛了你，但你饶了他一命。不管怎样，埃吉尔并不认同你的做法。因此你不得不在一场你死我活的决斗中杀死了他。^你原谅了雷因哈德的背叛行为，并让他继续留在你的团队。
qstr_The_holmgang_is_over|决斗结束了。是时候去{s3}见见阿斯比恩了。
qstr_You_remember_that_yo|你记得要带着拉格纳的刀子才能进行任务。
qstr_Before_you_left_for_|在你离去前往法兰克之前，有人派信使告诉你他会在一个叫野猪林的地方与你会面，就在{s3}的修道院附近。你得在那里找到伐木工的屋子。
qstr_Through_the_trees_yo|树林之中你勉强看到了一间小屋。树林在风的吹动下发出平柔的飒飒声，鸟儿也在吟唱，但你不见一人。
qstr_Through_the_trees_you|树林之中你勉强看到了一间小屋，这是你和贝达会面的地方，现在这里空无一人。
qstr_You_arrive_at_a_deep|你到了森林深处。
qstr_Through_the_trees_you_|树林之中你勉强看到了一间小屋。在你杀了住在这里的老英雄之后，这里成为无主之地了。
qstr_You_stay_hidden_watc|你保持隐蔽，观察着远处的营地，躲避撒克逊人的警戒和巡逻。
qstr_You_stay_hidden_watch|你保持隐蔽，观察着远处的营地，躲避丹麦人的警戒和巡逻。
qstr_Aelfred_gives_the_or|艾弗德发出了命令，号角声召集了营地外的人们。你在外面跟着西撒克逊国王的兄弟，他的兵士组成了线阵。军官领着他们就位。^^这儿如死一般的寂静，沉寂之中弥漫着紧张和担忧。撒克逊战士知道西撒克逊的命运悬于一线。一旦他们失败了，丹麦人就会势如破竹，洗劫他们的家园，奴役他们的家人。
qstr_Halfdan_gives_the_or|哈弗丹发出了命令，号角声召集了营地外的人们。你在外面跟着拉格纳之子，他的兵士组成了线阵。军官领着他们就位。^^丹麦战士一个个生龙活虎，有的甚至开起了玩笑，他们为近期的胜利所激励。但是当哈弗丹到了他们面前时，一切归于沉寂。
qstr_West_Seaxe|西撒克逊人
qstr_Danish|丹麦人
qstr_You_notice_that_Aelf|你注意到艾弗德朝你走来。当丹麦人企图占领山丘时，是他的冲锋挽回了局势。如果不是这点，恐怕你现在已经是一具死尸了……
qstr_Halfdan_walks_toward|哈弗丹朝你走来。你看到他全身都是血，但他仍笑着。他知道如果没有你和你的军队，他可能会输了那场战斗。
qstr_Your_followers_decid|你的追随者决定离开你。
qstr_You_chose_to_dispers|你决定解散你的追随者。
qstr_You_notice_that_a_gr|你注意到一群人朝你走来。为首的是一个高个子。那一定就是艾弗德提到过的艾德里克了。
qstr_You_notice_that_a_gro|你注意到一群人朝你走来。为首的是一个高个子。那一定就是哈弗丹提到过的安维德了。
qstr_You_aren_t_ready_to_|你没有准备好面对斯温。撤退时，有超过一百人在你的盾墙中。
